127.0.0.1 - - [06/May/2020:17:08:41 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/May/2020:17:08:44 +0900] "GET /HSTORE/NewFile.html HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/index.jsp HTTP/1.1" 200 38744
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/css/style.css HTTP/1.1" 200 60566
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/css/responsive.css HTTP/1.1" 200 7157
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/css/custom.css HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/images/img-pro-01.jpg HTTP/1.1" 200 100459
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/images/logo2.png HTTP/1.1" 200 4794
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/js/bootstrap.min.js HTTP/1.1" 200 50731
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/js/popper.min.js HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/js/jquery.superslides.min.js HTTP/1.1" 200 7882
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/js/bootstrap-select.js HTTP/1.1" 200 88315
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/js/inewsticker.js HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [06/May/2020:17:17:37 +0900] "GET /HSTORE/js/images-loded.min.js HTTP/1.1" 200 5559
